model_type,dataset_size,seq_len,hidden_dim,num_layers,num_heads,epochs,lr,batch_size,eq_steps,perplexity,accuracy,loss,n_params,train_time,inference_time,best_epoch
backprop,1000,64,128,3,4,30,0.0003,32,,49.4487419128418,0.179326171875,3.9009365129470823,475054,5.1777503490448,0.1729443073272705,7
eqprop_looped_mlp,1000,64,128,3,4,30,0.0003,32,15,15.6300048828125,0.2059765625,2.74919237613678,77614,8.53073763847351,0.24454402923583984,29
eqprop_recurrent_core,1000,64,128,3,4,30,0.0003,32,15,19.607255935668945,0.193984375,2.9758996248245237,177070,54.18147850036621,1.5988168716430664,20
eqprop_full,1000,64,128,3,4,30,0.0003,32,15,17.83989143371582,0.1750390625,2.8814371681213378,442030,123.05169105529785,3.3010826110839844,26
backprop,2000,64,128,3,4,30,0.0003,32,,16.610048294067383,0.261142578125,2.8100078201293943,475825,5.139938116073608,0.16484308242797852,10
eqprop_looped_mlp,2000,64,128,3,4,30,0.0003,32,15,13.236087799072266,0.282158203125,2.5829469537734986,78385,8.766416549682617,0.255413293838501,28
eqprop_recurrent_core,2000,64,128,3,4,30,0.0003,32,15,13.069633483886719,0.28423828125,2.5702915525436403,177841,53.58155012130737,1.5658221244812012,28
eqprop_full,2000,64,128,3,4,30,0.0003,32,15,13.120552062988281,0.2909765625,2.5741798543930052,442801,120.84480047225952,3.201885223388672,27
backprop,5000,64,128,3,4,30,0.0003,32,,11.192963600158691,0.325107421875,2.4152853155136107,476853,5.034929037094116,0.16357135772705078,29
eqprop_looped_mlp,5000,64,128,3,4,30,0.0003,32,15,12.808837890625,0.2721875,2.5501352834701536,79413,8.612915277481079,0.2473611831665039,27
eqprop_recurrent_core,5000,64,128,3,4,30,0.0003,32,15,14.635924339294434,0.2540234375,2.6834789657592775,178869,53.31092143058777,1.445953369140625,29
eqprop_full,5000,64,128,3,4,30,0.0003,32,15,14.850646018981934,0.254365234375,2.6980432653427124,443829,117.32825040817261,3.3720197677612305,29
backprop,10000,64,128,3,4,30,0.0003,32,,11.295987129211426,0.31884765625,2.4244476318359376,477881,5.089209794998169,0.16423487663269043,28
eqprop_looped_mlp,10000,64,128,3,4,30,0.0003,32,15,13.048412322998047,0.265498046875,2.5686663436889647,80441,8.884949922561646,0.25407862663269043,26
eqprop_recurrent_core,10000,64,128,3,4,30,0.0003,32,15,15.086792945861816,0.264833984375,2.713819761276245,179897,54.11886739730835,1.513749122619629,29
eqprop_full,10000,64,128,3,4,30,0.0003,32,15,14.764063835144043,0.264599609375,2.6921960973739623,444857,117.34612655639648,3.194540500640869,29
backprop,20000,64,128,3,4,30,0.0003,32,,10.5055570602417,0.31890625,2.351904344558716,478138,5.054459810256958,0.16333603858947754,29
eqprop_looped_mlp,20000,64,128,3,4,30,0.0003,32,15,13.50790786743164,0.2672265625,2.60327534198761,80698,8.58479642868042,0.24753284454345703,29
eqprop_recurrent_core,20000,64,128,3,4,30,0.0003,32,15,15.326889991760254,0.254453125,2.7296088409423827,180154,53.471396923065186,1.5082848072052002,29
eqprop_full,20000,64,128,3,4,30,0.0003,32,15,15.567855834960938,0.250810546875,2.745208239555359,445114,122.87303256988525,3.390510082244873,29
backprop,50000,64,128,3,4,30,0.0003,32,,8.158525466918945,0.388193359375,2.099063305854797,478395,8.68796706199646,0.17000627517700195,29
eqprop_looped_mlp,50000,64,128,3,4,30,0.0003,32,15,11.448806762695312,0.284453125,2.437885627746582,80955,15.452942371368408,0.27436256408691406,26
eqprop_recurrent_core,50000,64,128,3,4,30,0.0003,32,15,11.655891418457031,0.2977734375,2.45581166267395,180411,94.72312045097351,1.5762238502502441,29
eqprop_full,50000,64,128,3,4,30,0.0003,32,15,11.160046577453613,0.299951171875,2.4123400831222535,445371,212.51517057418823,3.4740614891052246,29
backprop,10000,16,128,2,4,20,0.0003,32,,10.364156723022461,0.3485546875,2.338353281021118,345401,3.7051167488098145,0.12844300270080566,18
eqprop_recurrent_core,10000,16,128,2,4,20,0.0003,32,15,14.234308242797852,0.2838671875,2.6556551551818846,179897,52.505454540252686,1.5146312713623047,19
backprop,10000,32,128,2,4,20,0.0003,32,,11.690092086791992,0.31310546875,2.4587416362762453,345401,2.656520366668701,0.13101577758789062,17
eqprop_recurrent_core,10000,32,128,2,4,20,0.0003,32,15,17.577594757080078,0.2384375,2.866625037193298,179897,36.37264442443848,1.51926851272583,18
backprop,10000,64,128,2,4,20,0.0003,32,,12.160865783691406,0.292705078125,2.4982231044769287,345401,2.6182141304016113,0.13114571571350098,18
eqprop_recurrent_core,10000,64,128,2,4,20,0.0003,32,15,19.41238784790039,0.22451171875,2.9659113121032714,179897,36.63290810585022,1.6092324256896973,19
backprop,10000,128,128,2,4,20,0.0003,32,,11.859941482543945,0.293125,2.473166570663452,345401,2.8706583976745605,0.13460779190063477,19
eqprop_recurrent_core,10000,128,128,2,4,20,0.0003,32,15,16.146345138549805,0.238779296875,2.7816935920715333,179897,36.05609107017517,1.5012102127075195,19
